,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
35,vpga_use,0.006702318,0.01237649,0.009645962,0.009744717,0.009805629,0.009808331,0.009809347,0.009799111,0.00978907,0.009786181,0.009779763,0.009753689,0.009715314,0.009656292,0.00839647
36,Vbf1,100.0303,173.1308,186.4573,187.5337,188.1232,188.1493,188.1591,188.0603,187.9633,187.9353,187.8734,187.6207,187.2472,186.0771,115.6294
37,Vbf2,100.0303,173.1308,186.4573,187.5337,188.1232,188.1493,188.1591,188.0603,187.9633,187.9353,187.8734,187.6207,187.2472,186.077,115.6294
38,Vbf3,100.0303,173.1308,186.4573,187.5337,188.1232,188.1493,188.1591,188.0603,187.9633,187.9353,187.8734,187.6207,187.2472,186.077,115.6294
39,Vbf4,100.0303,173.1308,186.4573,187.5337,188.1232,188.1493,188.1591,188.0603,187.9633,187.9353,187.8734,187.6207,187.2472,186.077,115.6294
40,Vbf5,36.31895,62.48018,66.92535,67.31136,67.5234,67.53278,67.53631,67.50077,67.46587,67.45582,67.43355,67.34268,67.20835,66.79303,41.96086
41,Vbf6,63.71131,110.6506,119.532,120.2223,120.5998,120.6165,120.6228,120.5595,120.4974,120.4795,120.4399,120.2781,120.0388,119.2841,73.66853
42,Vbf7,63.71131,110.6506,119.532,120.2223,120.5998,120.6165,120.6228,120.5595,120.4975,120.4795,120.4399,120.2781,120.0388,119.2843,73.66853
43,Vbf8,100.0303,173.1308,186.4573,187.5337,188.1232,188.1493,188.1591,188.0603,187.9633,187.9353,187.8734,187.6207,187.2472,186.077,115.6294
44,Vbf9,100.0306,173.1308,186.4573,187.5337,188.1232,188.1493,188.1594,188.0603,187.9633,187.9353,187.8734,187.6207,187.2472,186.077,115.6296
45,Vbf10,100.0298,173.1308,186.4575,187.5336,188.1232,188.1493,188.1595,188.0603,187.9633,187.9353,187.8734,187.6207,187.2472,186.0768,115.6303
46,Vbf11,58.51908,101.1206,108.7479,109.3755,109.7196,109.7348,109.7405,109.6829,109.6262,109.6099,109.5738,109.4264,109.2084,108.5279,67.63531
47,Vqi,127.4226,221.3012,239.064,240.4446,241.1997,241.233,241.2456,241.1191,240.9948,240.959,240.8797,240.5561,240.0777,238.5681,147.3371
48,Vipc,12028.55,20868.91,22501.7,22650.0,22743.43,22746.24,22749.82,22734.51,22717.65,22712.52,22738.11,22664.79,22609.95,22454.29,13909.85
49,Vicp,12025.91,20863.7,22493.35,22638.14,22729.08,22731.78,22735.29,22720.43,22704.01,22699.01,22724.73,22652.57,22599.16,22446.73,13906.76
50,Vinc,50.23449,99.29016,159.2788,226.5561,274.3358,276.6207,277.8268,269.3227,260.8187,258.2996,255.7806,233.4051,206.0654,144.053,58.92532
51,Vinp,55.52233,109.7418,176.045,250.4042,303.2132,305.7387,307.0717,297.6725,288.2733,285.4891,282.7049,257.9741,227.7565,159.2165,65.12798
52,Vdp,45.30622,91.3816,153.517,224.2731,274.5373,276.9422,278.2103,269.2627,260.3163,257.6664,254.997,231.477,202.7185,137.5141,53.27034
53,Vdc,45.29629,91.35878,153.46,224.1557,274.3641,276.766,278.0326,269.0959,260.16,257.5131,254.8469,231.3522,202.6217,137.4678,53.25849
54,Vfp,7.577985,13.14741,14.17607,14.2695,14.32836,14.33013,14.33238,14.32274,14.31212,14.30889,14.32501,14.27882,14.24427,14.1462,8.763206
55,Vfc,7.576323,13.14413,14.17081,14.26203,14.31932,14.32102,14.32323,14.31387,14.30352,14.30037,14.31658,14.27112,14.23747,14.14144,8.761256
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.33894,1.544355,1.769556,1.769672,1.769323,1.769307,1.769301,1.76936,1.769418,1.769435,1.769473,1.769621,1.769834,1.766664,1.359105
58,VgPQH2,310.3308,740.1182,589.305,1137.005,592.2461,1087.512,559.5111,460.2618,572.1616,674.7906,164.8219,580.0496,621.3963,408.2061,361.4992
59,Vbf12,1.479029e-07,-9.978178e-09,-5.529584e-07,6.03839e-08,1.01679e-08,5.118101e-08,5.597766e-10,-8.699041e-09,1.082952e-08,4.122705e-09,4.412061e-11,-2.450062e-08,5.633338e-10,-8.325182e-07,4.142936e-07
60,Vbf13,3.940145e-08,-2.773997e-09,-1.779152e-07,2.41704e-08,4.517146e-09,2.344483e-08,2.275549e-10,-3.908202e-09,4.725109e-09,1.787148e-09,1.967917e-11,-8.509831e-09,2.156154e-10,-2.575128e-07,1.1164e-07
61,Vbf14,-1.337675e-08,8.780212e-10,5.236078e-08,-6.657443e-09,-9.909814e-10,-5.161747e-09,-4.856212e-11,8.859327e-10,-1.09701e-09,-4.178501e-10,-5.399143e-12,1.339606e-09,-9.081579e-11,8.061056e-08,-3.251425e-08
62,Vbf15,100.0303,173.1308,186.4573,187.5337,188.1232,188.1493,188.1591,188.0603,187.9633,187.9353,187.8734,187.6207,187.2472,186.077,115.6294
