,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
122,vP680_d,0.4567793,0.05974035,0.2595764,0.3747428,1.197348,3.675726,1.38081,1.103011,1.574905,1.350932,0.1821239,0.1770001,0.09092216
123,vP680_f,1.329878e-06,-5.237244e-07,6.558525e-09,-1.214184e-08,-6.115667e-07,1.434991e-08,3.329547e-07,-2.242443e-05,-2.380552e-07,-0.001860215,0.008595049,-2.522849e-06,6.25823e-09
124,Vva,0.0,0.0,0.0,0.0,0.01559293,0.02509282,0.02503552,0.0248962,0.02507925,0.01847417,0.0,0.0,0.0
125,Vaz,0.0,0.0,0.0,0.0,0.01002641,0.05186273,0.05557816,0.05895235,0.05354564,0.0152839,0.0,0.0,0.0
126,Vza,1.730525e-79,1.185032e-11,1.034826e-11,1.655233e-11,0.01002639,0.05186223,0.05557799,0.05895262,0.05354561,0.01528376,8.136367e-80,1.427141e-11,8.211785e-12
127,Vav,2.840013e-77,2.588235e-10,2.249285e-10,3.474268e-10,0.0155929,0.02509222,0.02503533,0.02489645,0.0250792,0.01847395,1.351411e-77,3.040422e-10,1.825871e-10
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,-9.597386e-14,-3.316644e-11,-7.405485e-13,-3.049721e-13,1.323337e-14,-1.045152e-13,-5.739146e-12,3.410647e-11,6.157131e-13,-3.004797e-11,1.324813e-10,1.218667e-13,-3.628229e-12
132,ve2FBPase,-1.547562e-14,1.717318e-11,-1.508255e-12,-2.211888e-13,1.37682e-13,-7.231135e-12,-5.121201e-13,3.956864e-12,5.017494e-12,-2.914515e-12,1.338691e-11,6.950315e-14,-4.574176e-12
133,ve2SBPase,-6.212591e-14,6.322767e-11,-5.202682e-12,-8.27509e-13,5.579813e-14,-2.20834e-11,-2.608215e-12,1.7133e-11,2.081731e-11,-1.373165e-11,5.972344e-11,9.702985e-14,-2.012132e-11
134,ve2PRK,-8.979082e-14,-8.151918e-11,-3.001508e-14,-2.998018e-13,1.15576e-14,-5.997687e-14,-5.634983e-12,3.126595e-11,-3.061024e-13,-2.947214e-11,1.29694e-10,1.246524e-13,-7.321533e-13
135,ve2ATPase,-1.010548e-14,-9.182339e-12,-3.267183e-15,-3.372523e-14,1.299768e-15,-6.734568e-15,-6.338353e-13,3.516146e-12,-3.428865e-14,-3.315131e-12,1.458747e-11,1.402142e-14,-8.225878e-14
136,ve2ATPGPP,-1.113435e-13,4.412556e-11,-2.373566e-12,-2.937642e-13,1.588533e-14,-4.999406e-13,-5.497091e-12,3.54133e-11,1.691899e-11,-2.890958e-11,1.266857e-10,1.140375e-13,-2.239422e-11
137,ve2MDH,-3.541275e-16,-3.952835e-13,1.590254e-16,-1.165192e-15,4.084732e-17,-1.537128e-16,-2.190731e-14,1.130255e-13,6.8115e-17,-1.145197e-13,5.041129e-13,5.008472e-16,-2.591867e-15
138,ve2Fd,4.063511,6.470631,8.460019,9.941738,14.19127,14.62455,13.78614,13.20594,14.01073,14.22403,8.968489,7.263588,4.918234
139,veFd2Thio,-4.723972e-13,-8.975431e-11,-1.007464e-11,-2.283898e-12,3.68111e-13,-3.00711e-11,-2.635136e-11,1.556824e-10,4.485808e-11,-1.390251e-10,-7.271331e-10,5.391487e-13,-5.448328e-11
140,veFd2Calvin,0.3070289,0.9694721,0.8796323,1.109464,1.629635,1.465672,1.782946,2.002508,1.697953,1.617237,2.517674,0.7219711,0.4284505
141,ve2RuACT,-1.181768e-14,4.647098e-12,-2.512041e-13,-3.124056e-14,1.686183e-15,-5.168834e-14,-5.844886e-13,3.7641e-12,1.781283e-12,-3.07375e-12,1.347089e-11,1.211992e-14,-2.362856e-12
